"GEO_ID","NAME","B16001_001E","B16001_001M","B16001_002E","B16001_002M","B16001_003E","B16001_003M","B16001_004E","B16001_004M","B16001_005E","B16001_005M","B16001_006E","B16001_006M","B16001_007E","B16001_007M","B16001_008E","B16001_008M","B16001_009E","B16001_009M","B16001_010E","B16001_010M","B16001_011E","B16001_011M","B16001_012E","B16001_012M","B16001_013E","B16001_013M","B16001_014E","B16001_014M","B16001_015E","B16001_015M","B16001_016E","B16001_016M","B16001_017E","B16001_017M","B16001_018E","B16001_018M","B16001_019E","B16001_019M","B16001_020E","B16001_020M","B16001_021E","B16001_021M","B16001_022E","B16001_022M","B16001_023E","B16001_023M","B16001_024E","B16001_024M","B16001_025E","B16001_025M","B16001_026E","B16001_026M","B16001_027E","B16001_027M","B16001_028E","B16001_028M","B16001_029E","B16001_029M","B16001_030E","B16001_030M","B16001_031E","B16001_031M","B16001_032E","B16001_032M","B16001_033E","B16001_033M","B16001_034E","B16001_034M","B16001_035E","B16001_035M","B16001_036E","B16001_036M","B16001_037E","B16001_037M","B16001_038E","B16001_038M","B16001_039E","B16001_039M","B16001_040E","B16001_040M","B16001_041E","B16001_041M","B16001_042E","B16001_042M","B16001_043E","B16001_043M","B16001_044E","B16001_044M","B16001_045E","B16001_045M","B16001_046E","B16001_046M","B16001_047E","B16001_047M","B16001_048E","B16001_048M","B16001_049E","B16001_049M","B16001_050E","B16001_050M","B16001_051E","B16001_051M","B16001_052E","B16001_052M","B16001_053E","B16001_053M","B16001_054E","B16001_054M","B16001_055E","B16001_055M","B16001_056E","B16001_056M","B16001_057E","B16001_057M","B16001_058E","B16001_058M","B16001_059E","B16001_059M","B16001_060E","B16001_060M","B16001_061E","B16001_061M","B16001_062E","B16001_062M","B16001_063E","B16001_063M","B16001_064E","B16001_064M","B16001_065E","B16001_065M","B16001_066E","B16001_066M","B16001_067E","B16001_067M","B16001_068E","B16001_068M","B16001_069E","B16001_069M","B16001_070E","B16001_070M","B16001_071E","B16001_071M","B16001_072E","B16001_072M","B16001_073E","B16001_073M","B16001_074E","B16001_074M","B16001_075E","B16001_075M","B16001_076E","B16001_076M","B16001_077E","B16001_077M","B16001_078E","B16001_078M","B16001_079E","B16001_079M","B16001_080E","B16001_080M","B16001_081E","B16001_081M","B16001_082E","B16001_082M","B16001_083E","B16001_083M","B16001_084E","B16001_084M","B16001_085E","B16001_085M","B16001_086E","B16001_086M","B16001_087E","B16001_087M","B16001_088E","B16001_088M","B16001_089E","B16001_089M","B16001_090E","B16001_090M","B16001_091E","B16001_091M","B16001_092E","B16001_092M","B16001_093E","B16001_093M","B16001_094E","B16001_094M","B16001_095E","B16001_095M","B16001_096E","B16001_096M","B16001_097E","B16001_097M","B16001_098E","B16001_098M","B16001_099E","B16001_099M","B16001_100E","B16001_100M","B16001_101E","B16001_101M","B16001_102E","B16001_102M","B16001_103E","B16001_103M","B16001_104E","B16001_104M","B16001_105E","B16001_105M","B16001_106E","B16001_106M","B16001_107E","B16001_107M","B16001_108E","B16001_108M","B16001_109E","B16001_109M","B16001_110E","B16001_110M","B16001_111E","B16001_111M","B16001_112E","B16001_112M","B16001_113E","B16001_113M","B16001_114E","B16001_114M","B16001_115E","B16001_115M","B16001_116E","B16001_116M","B16001_117E","B16001_117M","B16001_118E","B16001_118M","B16001_119E","B16001_119M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!Spanish or Spanish Creole!!Speak English "very well"","Margin of Error!!Total!!Spanish or Spanish Creole!!Speak English "very well"","Estimate!!Total!!Spanish or Spanish Creole!!Speak English less than "very well"","Margin of Error!!Total!!Spanish or Spanish Creole!!Speak English less than "very well"","Estimate!!Total!!French (incl. Patois, Cajun)","Margin of Error!!Total!!French (incl. Patois, Cajun)","Estimate!!Total!!French (incl. Patois, Cajun)!!Speak English "very well"","Margin of Error!!Total!!French (incl. Patois, Cajun)!!Speak English "very well"","Estimate!!Total!!French (incl. Patois, Cajun)!!Speak English less than "very well"","Margin of Error!!Total!!French (incl. Patois, Cajun)!!Speak English less than "very well"","Estimate!!Total!!French Creole","Margin of Error!!Total!!French Creole","Estimate!!Total!!French Creole!!Speak English "very well"","Margin of Error!!Total!!French Creole!!Speak English "very well"","Estimate!!Total!!French Creole!!Speak English less than "very well"","Margin of Error!!Total!!French Creole!!Speak English less than "very well"","Estimate!!Total!!Italian","Margin of Error!!Total!!Italian","Estimate!!Total!!Italian!!Speak English "very well"","Margin of Error!!Total!!Italian!!Speak English "very well"","Estimate!!Total!!Italian!!Speak English less than "very well"","Margin of Error!!Total!!Italian!!Speak English less than "very well"","Estimate!!Total!!Portuguese or Portuguese Creole","Margin of Error!!Total!!Portuguese or Portuguese Creole","Estimate!!Total!!Portuguese or Portuguese Creole!!Speak English "very well"","Margin of Error!!Total!!Portuguese or Portuguese Creole!!Speak English "very well"","Estimate!!Total!!Portuguese or Portuguese Creole!!Speak English less than "very well"","Margin of Error!!Total!!Portuguese or Portuguese Creole!!Speak English less than "very well"","Estimate!!Total!!German","Margin of Error!!Total!!German","Estimate!!Total!!German!!Speak English "very well"","Margin of Error!!Total!!German!!Speak English "very well"","Estimate!!Total!!German!!Speak English less than "very well"","Margin of Error!!Total!!German!!Speak English less than "very well"","Estimate!!Total!!Yiddish","Margin of Error!!Total!!Yiddish","Estimate!!Total!!Yiddish!!Speak English "very well"","Margin of Error!!Total!!Yiddish!!Speak English "very well"","Estimate!!Total!!Yiddish!!Speak English less than "very well"","Margin of Error!!Total!!Yiddish!!Speak English less than "very well"","Estimate!!Total!!Other West Germanic languages","Margin of Error!!Total!!Other West Germanic languages","Estimate!!Total!!Other West Germanic languages!!Speak English "very well"","Margin of Error!!Total!!Other West Germanic languages!!Speak English "very well"","Estimate!!Total!!Other West Germanic languages!!Speak English less than "very well"","Margin of Error!!Total!!Other West Germanic languages!!Speak English less than "very well"","Estimate!!Total!!Scandinavian languages","Margin of Error!!Total!!Scandinavian languages","Estimate!!Total!!Scandinavian languages!!Speak English "very well"","Margin of Error!!Total!!Scandinavian languages!!Speak English "very well"","Estimate!!Total!!Scandinavian languages!!Speak English less than "very well"","Margin of Error!!Total!!Scandinavian languages!!Speak English less than "very well"","Estimate!!Total!!Greek","Margin of Error!!Total!!Greek","Estimate!!Total!!Greek!!Speak English "very well"","Margin of Error!!Total!!Greek!!Speak English "very well"","Estimate!!Total!!Greek!!Speak English less than "very well"","Margin of Error!!Total!!Greek!!Speak English less than "very well"","Estimate!!Total!!Russian","Margin of Error!!Total!!Russian","Estimate!!Total!!Russian!!Speak English "very well"","Margin of Error!!Total!!Russian!!Speak English "very well"","Estimate!!Total!!Russian!!Speak English less than "very well"","Margin of Error!!Total!!Russian!!Speak English less than "very well"","Estimate!!Total!!Polish","Margin of Error!!Total!!Polish","Estimate!!Total!!Polish!!Speak English "very well"","Margin of Error!!Total!!Polish!!Speak English "very well"","Estimate!!Total!!Polish!!Speak English less than "very well"","Margin of Error!!Total!!Polish!!Speak English less than "very well"","Estimate!!Total!!Serbo-Croatian","Margin of Error!!Total!!Serbo-Croatian","Estimate!!Total!!Serbo-Croatian!!Speak English "very well"","Margin of Error!!Total!!Serbo-Croatian!!Speak English "very well"","Estimate!!Total!!Serbo-Croatian!!Speak English less than "very well"","Margin of Error!!Total!!Serbo-Croatian!!Speak English less than "very well"","Estimate!!Total!!Other Slavic languages","Margin of Error!!Total!!Other Slavic languages","Estimate!!Total!!Other Slavic languages!!Speak English "very well"","Margin of Error!!Total!!Other Slavic languages!!Speak English "very well"","Estimate!!Total!!Other Slavic languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Slavic languages!!Speak English less than "very well"","Estimate!!Total!!Armenian","Margin of Error!!Total!!Armenian","Estimate!!Total!!Armenian!!Speak English "very well"","Margin of Error!!Total!!Armenian!!Speak English "very well"","Estimate!!Total!!Armenian!!Speak English less than "very well"","Margin of Error!!Total!!Armenian!!Speak English less than "very well"","Estimate!!Total!!Persian","Margin of Error!!Total!!Persian","Estimate!!Total!!Persian!!Speak English "very well"","Margin of Error!!Total!!Persian!!Speak English "very well"","Estimate!!Total!!Persian!!Speak English less than "very well"","Margin of Error!!Total!!Persian!!Speak English less than "very well"","Estimate!!Total!!Gujarati","Margin of Error!!Total!!Gujarati","Estimate!!Total!!Gujarati!!Speak English "very well"","Margin of Error!!Total!!Gujarati!!Speak English "very well"","Estimate!!Total!!Gujarati!!Speak English less than "very well"","Margin of Error!!Total!!Gujarati!!Speak English less than "very well"","Estimate!!Total!!Hindi","Margin of Error!!Total!!Hindi","Estimate!!Total!!Hindi!!Speak English "very well"","Margin of Error!!Total!!Hindi!!Speak English "very well"","Estimate!!Total!!Hindi!!Speak English less than "very well"","Margin of Error!!Total!!Hindi!!Speak English less than "very well"","Estimate!!Total!!Urdu","Margin of Error!!Total!!Urdu","Estimate!!Total!!Urdu!!Speak English "very well"","Margin of Error!!Total!!Urdu!!Speak English "very well"","Estimate!!Total!!Urdu!!Speak English less than "very well"","Margin of Error!!Total!!Urdu!!Speak English less than "very well"","Estimate!!Total!!Other Indic languages","Margin of Error!!Total!!Other Indic languages","Estimate!!Total!!Other Indic languages!!Speak English "very well"","Margin of Error!!Total!!Other Indic languages!!Speak English "very well"","Estimate!!Total!!Other Indic languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Indic languages!!Speak English less than "very well"","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English "very well"","Estimate!!Total!!Other Indo-European languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English less than "very well"","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Chinese!!Speak English "very well"","Margin of Error!!Total!!Chinese!!Speak English "very well"","Estimate!!Total!!Chinese!!Speak English less than "very well"","Margin of Error!!Total!!Chinese!!Speak English less than "very well"","Estimate!!Total!!Japanese","Margin of Error!!Total!!Japanese","Estimate!!Total!!Japanese!!Speak English "very well"","Margin of Error!!Total!!Japanese!!Speak English "very well"","Estimate!!Total!!Japanese!!Speak English less than "very well"","Margin of Error!!Total!!Japanese!!Speak English less than "very well"","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Korean!!Speak English "very well"","Margin of Error!!Total!!Korean!!Speak English "very well"","Estimate!!Total!!Korean!!Speak English less than "very well"","Margin of Error!!Total!!Korean!!Speak English less than "very well"","Estimate!!Total!!Mon-Khmer, Cambodian","Margin of Error!!Total!!Mon-Khmer, Cambodian","Estimate!!Total!!Mon-Khmer, Cambodian!!Speak English "very well"","Margin of Error!!Total!!Mon-Khmer, Cambodian!!Speak English "very well"","Estimate!!Total!!Mon-Khmer, Cambodian!!Speak English less than "very well"","Margin of Error!!Total!!Mon-Khmer, Cambodian!!Speak English less than "very well"","Estimate!!Total!!Hmong","Margin of Error!!Total!!Hmong","Estimate!!Total!!Hmong!!Speak English "very well"","Margin of Error!!Total!!Hmong!!Speak English "very well"","Estimate!!Total!!Hmong!!Speak English less than "very well"","Margin of Error!!Total!!Hmong!!Speak English less than "very well"","Estimate!!Total!!Thai","Margin of Error!!Total!!Thai","Estimate!!Total!!Thai!!Speak English "very well"","Margin of Error!!Total!!Thai!!Speak English "very well"","Estimate!!Total!!Thai!!Speak English less than "very well"","Margin of Error!!Total!!Thai!!Speak English less than "very well"","Estimate!!Total!!Laotian","Margin of Error!!Total!!Laotian","Estimate!!Total!!Laotian!!Speak English "very well"","Margin of Error!!Total!!Laotian!!Speak English "very well"","Estimate!!Total!!Laotian!!Speak English less than "very well"","Margin of Error!!Total!!Laotian!!Speak English less than "very well"","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Vietnamese!!Speak English "very well"","Margin of Error!!Total!!Vietnamese!!Speak English "very well"","Estimate!!Total!!Vietnamese!!Speak English less than "very well"","Margin of Error!!Total!!Vietnamese!!Speak English less than "very well"","Estimate!!Total!!Other Asian languages","Margin of Error!!Total!!Other Asian languages","Estimate!!Total!!Other Asian languages!!Speak English "very well"","Margin of Error!!Total!!Other Asian languages!!Speak English "very well"","Estimate!!Total!!Other Asian languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Asian languages!!Speak English less than "very well"","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Tagalog!!Speak English "very well"","Margin of Error!!Total!!Tagalog!!Speak English "very well"","Estimate!!Total!!Tagalog!!Speak English less than "very well"","Margin of Error!!Total!!Tagalog!!Speak English less than "very well"","Estimate!!Total!!Other Pacific Island languages","Margin of Error!!Total!!Other Pacific Island languages","Estimate!!Total!!Other Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!Other Pacific Island languages!!Speak English "very well"","Estimate!!Total!!Other Pacific Island languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Pacific Island languages!!Speak English less than "very well"","Estimate!!Total!!Navajo","Margin of Error!!Total!!Navajo","Estimate!!Total!!Navajo!!Speak English "very well"","Margin of Error!!Total!!Navajo!!Speak English "very well"","Estimate!!Total!!Navajo!!Speak English less than "very well"","Margin of Error!!Total!!Navajo!!Speak English less than "very well"","Estimate!!Total!!Other Native North American languages","Margin of Error!!Total!!Other Native North American languages","Estimate!!Total!!Other Native North American languages!!Speak English "very well"","Margin of Error!!Total!!Other Native North American languages!!Speak English "very well"","Estimate!!Total!!Other Native North American languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Native North American languages!!Speak English less than "very well"","Estimate!!Total!!Hungarian","Margin of Error!!Total!!Hungarian","Estimate!!Total!!Hungarian!!Speak English "very well"","Margin of Error!!Total!!Hungarian!!Speak English "very well"","Estimate!!Total!!Hungarian!!Speak English less than "very well"","Margin of Error!!Total!!Hungarian!!Speak English less than "very well"","Estimate!!Total!!Arabic","Margin of Error!!Total!!Arabic","Estimate!!Total!!Arabic!!Speak English "very well"","Margin of Error!!Total!!Arabic!!Speak English "very well"","Estimate!!Total!!Arabic!!Speak English less than "very well"","Margin of Error!!Total!!Arabic!!Speak English less than "very well"","Estimate!!Total!!Hebrew","Margin of Error!!Total!!Hebrew","Estimate!!Total!!Hebrew!!Speak English "very well"","Margin of Error!!Total!!Hebrew!!Speak English "very well"","Estimate!!Total!!Hebrew!!Speak English less than "very well"","Margin of Error!!Total!!Hebrew!!Speak English less than "very well"","Estimate!!Total!!African languages","Margin of Error!!Total!!African languages","Estimate!!Total!!African languages!!Speak English "very well"","Margin of Error!!Total!!African languages!!Speak English "very well"","Estimate!!Total!!African languages!!Speak English less than "very well"","Margin of Error!!Total!!African languages!!Speak English less than "very well"","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages","Estimate!!Total!!Other and unspecified languages!!Speak English "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English "very well"","Estimate!!Total!!Other and unspecified languages!!Speak English less than "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English less than "very well"",
"0400000US01","Alabama","4497352","490","4261611","3627","151384","2607","72414","2209","78970","2312","7379","653","6189","620","1190","217","333","127","243","103","90","68","1672","293","1232","248","440","150","1374","337","953","243","421","193","10038","816","8512","730","1526","275","18","21","9","14","9","16","935","280","849","270","86","61","286","128","280","127","6","9","918","258","773","243","145","72","1325","293","845","209","480","176","384","135","311","112","73","53","465","244","328","165","137","102","556","196","430","159","126","88","50","44","50","44","0","27","1010","320","598","181","412","187","2630","623","1956","453","674","307","3236","593","2351","507","885","299","1306","396","1043","357","263","112","3191","687","2333","559","858","275","895","255","721","220","174","116","9461","934","4294","615","5167","660","1814","379","1142","282","672","243","7475","1008","3383","658","4092","663","887","329","450","166","437","215","208","205","141","137","67","72","828","311","394","215","434","188","935","389","418","213","517","268","6839","983","3180","597","3659","611","3442","541","2147","352","1295","490","3115","473","2220","340","895","232","1308","435","745","224","563","353","96","92","96","92","0","27","650","195","589","187","61","52","145","76","115","64","30","43","4560","838","3070","767","1490","491","410","184","402","184","8","15","3325","509","2695","450","630","189","858","434","404","203","454","256",
"0400000US02","Alaska","665954","168","557877","1931","22425","1109","16653","939","5772","597","2195","423","1971","410","224","109","120","87","94","65","26","39","444","146","378","132","66","44","279","124","186","80","93","70","3662","592","3326","545","336","129","0","22","0","22","0","22","249","83","236","87","13","20","718","196","628","178","90","50","140","76","107","70","33","33","4426","667","3411","555","1015","230","426","158","240","98","186","107","32","31","25","28","7","11","921","542","329","148","592","498","3","8","3","8","0","22","100","75","77","56","23","32","123","177","123","177","0","22","290","190","290","190","0","22","272","235","95","116","177","196","486","344","234","167","252","204","560","190","385","139","175","88","1634","435","727","233","907","324","1752","558","1075","315","677","334","3937","686","1843","392","2094","436","205","115","89","50","116","90","3107","885","1401","446","1706","615","1105","329","558","192","547","197","1469","499","784","343","685","235","1286","401","511","201","775","253","721","341","464","228","257","137","14177","1157","6887","666","7290","888","6542","743","4477","607","2065","431","133","99","117","96","16","28","31735","971","23648","881","8087","459","90","77","69","69","21","30","388","205","327","180","61","50","241","136","186","107","55","61","1415","388","672","304","743","211","269","103","230","101","39","41",
"0400000US04","Arizona","6033147","321","4416957","10221","1230732","7873","771881","6872","458851","6274","16511","1118","13393","960","3118","432","756","313","543","243","213","197","7901","792","6239","725","1662","278","4401","725","3419","582","982","260","23063","1449","20232","1255","2831","486","445","175","417","174","28","29","2725","473","2400","429","325","122","2562","360","2348","355","214","82","3043","486","2510","409","533","190","6602","1031","4557","778","2045","396","5844","691","4357","574","1487","357","8370","1302","5160","884","3210","582","4146","624","3110","517","1036","291","1385","488","1059","387","326","229","6111","1063","4060","712","2051","553","3824","601","2962","496","862","242","8474","1145","7496","994","978","293","2380","591","1816","443","564","272","7396","1322","5046","971","2350","547","7281","987","4643","658","2638","502","28552","1789","14453","1298","14099","1187","6237","787","3979","615","2258","394","10733","1111","5879","786","4854","641","2055","610","1232","550","823","208","234","222","203","193","31","38","2492","511","1003","256","1489","374","1397","444","880","369","517","221","20608","1762","7857","919","12751","1219","13533","1528","9223","1081","4310","861","20664","1476","14992","1330","5672","714","7039","860","5137","778","1902","414","83792","1745","62812","1778","20980","955","26869","1372","23061","1233","3808","459","1499","293","1111","239","388","141","16865","1851","10146","1299","6719","929","2705","661","2319","567","386","194","11579","1421","6969","1035","4610","697","5385","1103","2834","623","2551","656",
"0400000US05","Arkansas","2738012","459","2540974","3012","143540","2172","74142","2158","69398","2255","4326","508","3433","463","893","209","93","83","71","74","22","37","963","210","756","193","207","99","1050","360","788","277","262","166","5488","604","4669","599","819","202","0","28","0","28","0","28","1585","542","1365","489","220","134","212","99","198","95","14","25","144","77","117","69","27","31","515","162","367","137","148","82","315","136","212","107","103","75","211","117","79","57","132","100","570","356","409","190","161","190","100","94","42","41","58","86","519","273","267","167","252","191","917","376","532","259","385","201","1413","523","980","409","433","225","628","270","405","213","223","143","2067","473","1474","409","593","190","575","267","335","185","240","166","4125","667","1912","466","2213","516","942","219","506","177","436","138","1591","357","1042","328","549","153","273","236","113","132","160","129","1584","440","868","243","716","274","438","151","180","83","258","129","3429","637","1463","378","1966","427","4589","688","1640","401","2949","507","2326","525","1564","349","762","331","2901","442","1953","357","948","201","4571","484","1731","391","2840","385","20","30","20","30","0","28","888","292","577","175","311","191","94","77","74","73","20","24","2704","809","1667","631","1037","289","25","29","14","23","11","19","797","251","639","220","158","104","510","291","457","291","53","58",
"0400000US06","California","35131429","586","19782598","34163","10105424","22961","5566175","20983","4539249","16174","126083","3706","107247","3427","18836","1187","6718","862","5418","728","1300","358","62621","2128","49648","1804","12973","729","79572","3175","54229","2305","25343","1541","110575","2794","96340","2611","14235","750","3272","513","2638","445","634","188","25660","1519","22498","1359","3162","400","23859","1601","21383","1460","2476","412","22932","996","18456","825","4476","454","151685","4956","77446","3160","74239","2957","19699","1266","13894","950","5805","647","22753","1635","16574","1376","6179","700","33935","2071","19621","1251","14314","1283","191928","4930","98513","3351","93415","2794","191138","5789","117581","3988","73557","2896","44917","2616","31550","1895","13367","1112","149301","4735","119687","4204","29614","1830","45609","2723","32830","2140","12779","1244","184194","5406","111097","3997","73097","2802","46760","2240","30963","1767","15797","998","1058231","8797","464415","5572","593816","5856","140575","3757","76531","2803","64044","2048","372742","6323","154120","3926","218622","4279","79882","4039","38532","2747","41350","2048","76789","3747","41134","2548","35655","2144","46434","2607","20399","1585","26035","1597","36849","2319","18053","1519","18796","1213","521534","8601","210392","4920","311142","5256","156029","4001","111095","3527","44934","2040","764743","8411","506735","7161","258008","4314","121220","3715","77851","2556","43369","2009","1401","333","1224","318","177","66","5989","613","5109","610","880","210","13236","1035","9233","850","4003","499","153635","4636","94830","3611","58805","2616","41311","2225","34118","1852","7193","784","71399","3273","50809","2384","20590","1722","38197","2358","21193","1690","17004","1469",
"0400000US08","Colorado","4779527","437","3976875","7959","565058","6145","334635","4542","230423","3833","16213","1050","13751","860","2462","433","382","209","276","163","106","81","5767","725","5030","640","737","181","3370","566","2675","484","695","250","25675","1307","22628","1259","3047","342","135","64","120","59","15","17","3275","589","3029","578","246","115","2881","483","2608","460","273","104","1910","367","1449","298","461","187","15124","1565","8845","1002","6279","807","5365","649","4190","561","1175","321","2531","500","1544","345","987","225","4101","733","2878","576","1223","354","583","236","358","144","225","167","4090","650","2853","516","1237","283","762","256","580","228","182","107","4171","563","3548","491","623","209","1613","492","1153","364","460","252","7862","1055","4789","713","3073","718","4532","830","2997","495","1535","580","19020","1496","9592","937","9428","974","6071","706","4320","588","1751","263","15629","1162","7449","849","8180","692","2210","603","1260","337","950","379","3008","725","1971","530","1037","317","1950","380","866","215","1084","271","2175","713","1194","473","981","313","20099","1706","7399","873","12700","1121","9628","1089","6278","831","3350","644","7293","835","5323","659","1970","420","3968","614","2470","444","1498","311","2937","525","2618","491","319","151","2244","341","1831","290","413","172","1322","280","1020","205","302","147","9692","1208","5576","732","4116","758","1650","428","1434","380","216","111","17500","1597","9352","1200","8148","995","856","271","512","174","344","164",
"0400000US09","Connecticut","3386166","207","2658925","5118","371024","3078","214788","3591","156236","3067","34519","1270","26656","1049","7863","806","14081","1277","8008","1050","6073","735","36571","1374","26206","1139","10365","797","37016","2153","20062","1356","16954","1327","11533","807","10082","736","1451","256","353","105","333","103","20","23","2027","415","1852","372","175","107","2233","352","2025","328","208","83","8670","777","6475","635","2195","351","10684","932","5764","665","4920","527","37704","2251","22064","1589","15640","1241","4160","721","2524","473","1636","374","4812","651","3260","434","1552","392","731","220","579","205","152","72","1488","293","1047","226","441","144","5647","869","3538","603","2109","416","11430","1173","8869","921","2561","640","6282","1024","4282","719","2000","573","10873","980","6762","716","4111","594","13969","1310","8625","962","5344","658","27002","1733","13968","1199","13034","1111","3391","606","1841","320","1550","529","6456","802","3007","412","3449","576","2456","607","1212","374","1244","332","9","15","9","15","0","28","1401","418","648","214","753","322","2981","668","1505","364","1476","395","7735","1192","2895","533","4840","806","15932","1492","11390","1083","4542","652","8539","883","5876","712","2663","473","957","285","574","174","383","151","0","28","0","28","0","28","260","109","189","97","71","44","2764","459","1984","339","780","223","9271","1371","5378","998","3893","752","2762","582","2419","528","343","120","8553","1137","6296","853","2257","530","965","226","731","191","234","84",
"0400000US10","Delaware","852446","109","745175","2415","57255","1611","31478","1287","25777","1350","3520","524","2798","429","722","264","2562","646","1184","380","1378","419","2282","357","1651","300","631","183","696","238","486","168","210","110","3191","430","2619","353","572","181","75","56","75","56","0","27","1349","420","864","329","485","189","95","57","95","57","0","27","1288","312","1139","281","149","81","999","334","705","222","294","218","1014","257","794","211","220","103","216","125","178","107","38","38","622","229","376","147","246","115","62","99","22","35","40","64","262","150","139","78","123","95","2091","552","1022","313","1069","309","1895","545","1479","398","416","213","1746","467","1361","354","385","178","2379","557","1854","505","525","166","1047","399","652","249","395","284","6110","738","3180","436","2930","505","562","180","450","159","112","97","1598","353","1017","304","581","218","49","48","30","43","19","22","0","27","0","27","0","27","183","126","79","63","104","75","42","56","11","18","31","39","1095","415","504","245","591","279","4521","626","3720","560","801","219","2293","495","1779","420","514","223","156","86","132","77","24","28","0","27","0","27","0","27","156","103","124","82","32","34","141","110","73","49","68","88","1628","447","1238","356","390","161","122","71","122","71","0","27","3744","781","3299","712","445","170","225","91","219","87","6","11",
"0400000US11","District of Columbia","582879","72","490944","1976","44457","1422","28256","1281","16201","1067","8489","818","6841","726","1648","362","440","170","333","142","107","70","1759","458","1396","396","363","182","1449","365","1042","289","407","152","2623","380","2330","346","293","101","7","11","7","11","0","29","259","121","259","121","0","29","816","266","735","232","81","113","662","214","614","196","48","44","1895","342","1488","308","407","175","483","154","431","140","52","42","486","198","405","190","81","50","674","194","583","175","91","50","93","50","93","50","0","29","663","193","556","178","107","74","311","151","285","135","26","29","1245","338","1097","292","148","97","261","105","245","107","16","15","1269","367","921","266","348","164","1023","321","898","285","125","75","4306","571","2662","386","1644","378","820","219","620","157","200","116","1290","322","1002","258","288","127","53","50","35","39","18","27","54","77","9","13","45","78","386","199","133","91","253","162","53","47","43","46","10","15","1166","373","495","162","671","305","964","282","765","249","199","131","1436","398","917","260","519","205","462","209","340","157","122","135","0","29","0","29","0","29","108","77","108","77","0","29","275","116","242","112","33","35","1599","315","1382","305","217","98","597","223","528","200","69","54","8536","929","5311","620","3225","607","466","158","352","128","114","84",
