"GEO_ID","NAME","B16001_001E","B16001_001M","B16001_002E","B16001_002M","B16001_003E","B16001_003M","B16001_004E","B16001_004M","B16001_005E","B16001_005M","B16001_006E","B16001_006M","B16001_007E","B16001_007M","B16001_008E","B16001_008M","B16001_009E","B16001_009M","B16001_010E","B16001_010M","B16001_011E","B16001_011M","B16001_012E","B16001_012M","B16001_013E","B16001_013M","B16001_014E","B16001_014M","B16001_015E","B16001_015M","B16001_016E","B16001_016M","B16001_017E","B16001_017M","B16001_018E","B16001_018M","B16001_019E","B16001_019M","B16001_020E","B16001_020M","B16001_021E","B16001_021M","B16001_022E","B16001_022M","B16001_023E","B16001_023M","B16001_024E","B16001_024M","B16001_025E","B16001_025M","B16001_026E","B16001_026M","B16001_027E","B16001_027M","B16001_028E","B16001_028M","B16001_029E","B16001_029M","B16001_030E","B16001_030M","B16001_031E","B16001_031M","B16001_032E","B16001_032M","B16001_033E","B16001_033M","B16001_034E","B16001_034M","B16001_035E","B16001_035M","B16001_036E","B16001_036M","B16001_037E","B16001_037M","B16001_038E","B16001_038M","B16001_039E","B16001_039M","B16001_040E","B16001_040M","B16001_041E","B16001_041M","B16001_042E","B16001_042M","B16001_043E","B16001_043M","B16001_044E","B16001_044M","B16001_045E","B16001_045M","B16001_046E","B16001_046M","B16001_047E","B16001_047M","B16001_048E","B16001_048M","B16001_049E","B16001_049M","B16001_050E","B16001_050M","B16001_051E","B16001_051M","B16001_052E","B16001_052M","B16001_053E","B16001_053M","B16001_054E","B16001_054M","B16001_055E","B16001_055M","B16001_056E","B16001_056M","B16001_057E","B16001_057M","B16001_058E","B16001_058M","B16001_059E","B16001_059M","B16001_060E","B16001_060M","B16001_061E","B16001_061M","B16001_062E","B16001_062M","B16001_063E","B16001_063M","B16001_064E","B16001_064M","B16001_065E","B16001_065M","B16001_066E","B16001_066M","B16001_067E","B16001_067M","B16001_068E","B16001_068M","B16001_069E","B16001_069M","B16001_070E","B16001_070M","B16001_071E","B16001_071M","B16001_072E","B16001_072M","B16001_073E","B16001_073M","B16001_074E","B16001_074M","B16001_075E","B16001_075M","B16001_076E","B16001_076M","B16001_077E","B16001_077M","B16001_078E","B16001_078M","B16001_079E","B16001_079M","B16001_080E","B16001_080M","B16001_081E","B16001_081M","B16001_082E","B16001_082M","B16001_083E","B16001_083M","B16001_084E","B16001_084M","B16001_085E","B16001_085M","B16001_086E","B16001_086M","B16001_087E","B16001_087M","B16001_088E","B16001_088M","B16001_089E","B16001_089M","B16001_090E","B16001_090M","B16001_091E","B16001_091M","B16001_092E","B16001_092M","B16001_093E","B16001_093M","B16001_094E","B16001_094M","B16001_095E","B16001_095M","B16001_096E","B16001_096M","B16001_097E","B16001_097M","B16001_098E","B16001_098M","B16001_099E","B16001_099M","B16001_100E","B16001_100M","B16001_101E","B16001_101M","B16001_102E","B16001_102M","B16001_103E","B16001_103M","B16001_104E","B16001_104M","B16001_105E","B16001_105M","B16001_106E","B16001_106M","B16001_107E","B16001_107M","B16001_108E","B16001_108M","B16001_109E","B16001_109M","B16001_110E","B16001_110M","B16001_111E","B16001_111M","B16001_112E","B16001_112M","B16001_113E","B16001_113M","B16001_114E","B16001_114M","B16001_115E","B16001_115M","B16001_116E","B16001_116M","B16001_117E","B16001_117M","B16001_118E","B16001_118M","B16001_119E","B16001_119M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!Spanish or Spanish Creole!!Speak English "very well"","Margin of Error!!Total!!Spanish or Spanish Creole!!Speak English "very well"","Estimate!!Total!!Spanish or Spanish Creole!!Speak English less than "very well"","Margin of Error!!Total!!Spanish or Spanish Creole!!Speak English less than "very well"","Estimate!!Total!!French (incl. Patois, Cajun)","Margin of Error!!Total!!French (incl. Patois, Cajun)","Estimate!!Total!!French (incl. Patois, Cajun)!!Speak English "very well"","Margin of Error!!Total!!French (incl. Patois, Cajun)!!Speak English "very well"","Estimate!!Total!!French (incl. Patois, Cajun)!!Speak English less than "very well"","Margin of Error!!Total!!French (incl. Patois, Cajun)!!Speak English less than "very well"","Estimate!!Total!!French Creole","Margin of Error!!Total!!French Creole","Estimate!!Total!!French Creole!!Speak English "very well"","Margin of Error!!Total!!French Creole!!Speak English "very well"","Estimate!!Total!!French Creole!!Speak English less than "very well"","Margin of Error!!Total!!French Creole!!Speak English less than "very well"","Estimate!!Total!!Italian","Margin of Error!!Total!!Italian","Estimate!!Total!!Italian!!Speak English "very well"","Margin of Error!!Total!!Italian!!Speak English "very well"","Estimate!!Total!!Italian!!Speak English less than "very well"","Margin of Error!!Total!!Italian!!Speak English less than "very well"","Estimate!!Total!!Portuguese or Portuguese Creole","Margin of Error!!Total!!Portuguese or Portuguese Creole","Estimate!!Total!!Portuguese or Portuguese Creole!!Speak English "very well"","Margin of Error!!Total!!Portuguese or Portuguese Creole!!Speak English "very well"","Estimate!!Total!!Portuguese or Portuguese Creole!!Speak English less than "very well"","Margin of Error!!Total!!Portuguese or Portuguese Creole!!Speak English less than "very well"","Estimate!!Total!!German","Margin of Error!!Total!!German","Estimate!!Total!!German!!Speak English "very well"","Margin of Error!!Total!!German!!Speak English "very well"","Estimate!!Total!!German!!Speak English less than "very well"","Margin of Error!!Total!!German!!Speak English less than "very well"","Estimate!!Total!!Yiddish","Margin of Error!!Total!!Yiddish","Estimate!!Total!!Yiddish!!Speak English "very well"","Margin of Error!!Total!!Yiddish!!Speak English "very well"","Estimate!!Total!!Yiddish!!Speak English less than "very well"","Margin of Error!!Total!!Yiddish!!Speak English less than "very well"","Estimate!!Total!!Other West Germanic languages","Margin of Error!!Total!!Other West Germanic languages","Estimate!!Total!!Other West Germanic languages!!Speak English "very well"","Margin of Error!!Total!!Other West Germanic languages!!Speak English "very well"","Estimate!!Total!!Other West Germanic languages!!Speak English less than "very well"","Margin of Error!!Total!!Other West Germanic languages!!Speak English less than "very well"","Estimate!!Total!!Scandinavian languages","Margin of Error!!Total!!Scandinavian languages","Estimate!!Total!!Scandinavian languages!!Speak English "very well"","Margin of Error!!Total!!Scandinavian languages!!Speak English "very well"","Estimate!!Total!!Scandinavian languages!!Speak English less than "very well"","Margin of Error!!Total!!Scandinavian languages!!Speak English less than "very well"","Estimate!!Total!!Greek","Margin of Error!!Total!!Greek","Estimate!!Total!!Greek!!Speak English "very well"","Margin of Error!!Total!!Greek!!Speak English "very well"","Estimate!!Total!!Greek!!Speak English less than "very well"","Margin of Error!!Total!!Greek!!Speak English less than "very well"","Estimate!!Total!!Russian","Margin of Error!!Total!!Russian","Estimate!!Total!!Russian!!Speak English "very well"","Margin of Error!!Total!!Russian!!Speak English "very well"","Estimate!!Total!!Russian!!Speak English less than "very well"","Margin of Error!!Total!!Russian!!Speak English less than "very well"","Estimate!!Total!!Polish","Margin of Error!!Total!!Polish","Estimate!!Total!!Polish!!Speak English "very well"","Margin of Error!!Total!!Polish!!Speak English "very well"","Estimate!!Total!!Polish!!Speak English less than "very well"","Margin of Error!!Total!!Polish!!Speak English less than "very well"","Estimate!!Total!!Serbo-Croatian","Margin of Error!!Total!!Serbo-Croatian","Estimate!!Total!!Serbo-Croatian!!Speak English "very well"","Margin of Error!!Total!!Serbo-Croatian!!Speak English "very well"","Estimate!!Total!!Serbo-Croatian!!Speak English less than "very well"","Margin of Error!!Total!!Serbo-Croatian!!Speak English less than "very well"","Estimate!!Total!!Other Slavic languages","Margin of Error!!Total!!Other Slavic languages","Estimate!!Total!!Other Slavic languages!!Speak English "very well"","Margin of Error!!Total!!Other Slavic languages!!Speak English "very well"","Estimate!!Total!!Other Slavic languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Slavic languages!!Speak English less than "very well"","Estimate!!Total!!Armenian","Margin of Error!!Total!!Armenian","Estimate!!Total!!Armenian!!Speak English "very well"","Margin of Error!!Total!!Armenian!!Speak English "very well"","Estimate!!Total!!Armenian!!Speak English less than "very well"","Margin of Error!!Total!!Armenian!!Speak English less than "very well"","Estimate!!Total!!Persian","Margin of Error!!Total!!Persian","Estimate!!Total!!Persian!!Speak English "very well"","Margin of Error!!Total!!Persian!!Speak English "very well"","Estimate!!Total!!Persian!!Speak English less than "very well"","Margin of Error!!Total!!Persian!!Speak English less than "very well"","Estimate!!Total!!Gujarati","Margin of Error!!Total!!Gujarati","Estimate!!Total!!Gujarati!!Speak English "very well"","Margin of Error!!Total!!Gujarati!!Speak English "very well"","Estimate!!Total!!Gujarati!!Speak English less than "very well"","Margin of Error!!Total!!Gujarati!!Speak English less than "very well"","Estimate!!Total!!Hindi","Margin of Error!!Total!!Hindi","Estimate!!Total!!Hindi!!Speak English "very well"","Margin of Error!!Total!!Hindi!!Speak English "very well"","Estimate!!Total!!Hindi!!Speak English less than "very well"","Margin of Error!!Total!!Hindi!!Speak English less than "very well"","Estimate!!Total!!Urdu","Margin of Error!!Total!!Urdu","Estimate!!Total!!Urdu!!Speak English "very well"","Margin of Error!!Total!!Urdu!!Speak English "very well"","Estimate!!Total!!Urdu!!Speak English less than "very well"","Margin of Error!!Total!!Urdu!!Speak English less than "very well"","Estimate!!Total!!Other Indic languages","Margin of Error!!Total!!Other Indic languages","Estimate!!Total!!Other Indic languages!!Speak English "very well"","Margin of Error!!Total!!Other Indic languages!!Speak English "very well"","Estimate!!Total!!Other Indic languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Indic languages!!Speak English less than "very well"","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English "very well"","Estimate!!Total!!Other Indo-European languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English less than "very well"","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Chinese!!Speak English "very well"","Margin of Error!!Total!!Chinese!!Speak English "very well"","Estimate!!Total!!Chinese!!Speak English less than "very well"","Margin of Error!!Total!!Chinese!!Speak English less than "very well"","Estimate!!Total!!Japanese","Margin of Error!!Total!!Japanese","Estimate!!Total!!Japanese!!Speak English "very well"","Margin of Error!!Total!!Japanese!!Speak English "very well"","Estimate!!Total!!Japanese!!Speak English less than "very well"","Margin of Error!!Total!!Japanese!!Speak English less than "very well"","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Korean!!Speak English "very well"","Margin of Error!!Total!!Korean!!Speak English "very well"","Estimate!!Total!!Korean!!Speak English less than "very well"","Margin of Error!!Total!!Korean!!Speak English less than "very well"","Estimate!!Total!!Mon-Khmer, Cambodian","Margin of Error!!Total!!Mon-Khmer, Cambodian","Estimate!!Total!!Mon-Khmer, Cambodian!!Speak English "very well"","Margin of Error!!Total!!Mon-Khmer, Cambodian!!Speak English "very well"","Estimate!!Total!!Mon-Khmer, Cambodian!!Speak English less than "very well"","Margin of Error!!Total!!Mon-Khmer, Cambodian!!Speak English less than "very well"","Estimate!!Total!!Hmong","Margin of Error!!Total!!Hmong","Estimate!!Total!!Hmong!!Speak English "very well"","Margin of Error!!Total!!Hmong!!Speak English "very well"","Estimate!!Total!!Hmong!!Speak English less than "very well"","Margin of Error!!Total!!Hmong!!Speak English less than "very well"","Estimate!!Total!!Thai","Margin of Error!!Total!!Thai","Estimate!!Total!!Thai!!Speak English "very well"","Margin of Error!!Total!!Thai!!Speak English "very well"","Estimate!!Total!!Thai!!Speak English less than "very well"","Margin of Error!!Total!!Thai!!Speak English less than "very well"","Estimate!!Total!!Laotian","Margin of Error!!Total!!Laotian","Estimate!!Total!!Laotian!!Speak English "very well"","Margin of Error!!Total!!Laotian!!Speak English "very well"","Estimate!!Total!!Laotian!!Speak English less than "very well"","Margin of Error!!Total!!Laotian!!Speak English less than "very well"","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Vietnamese!!Speak English "very well"","Margin of Error!!Total!!Vietnamese!!Speak English "very well"","Estimate!!Total!!Vietnamese!!Speak English less than "very well"","Margin of Error!!Total!!Vietnamese!!Speak English less than "very well"","Estimate!!Total!!Other Asian languages","Margin of Error!!Total!!Other Asian languages","Estimate!!Total!!Other Asian languages!!Speak English "very well"","Margin of Error!!Total!!Other Asian languages!!Speak English "very well"","Estimate!!Total!!Other Asian languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Asian languages!!Speak English less than "very well"","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Tagalog!!Speak English "very well"","Margin of Error!!Total!!Tagalog!!Speak English "very well"","Estimate!!Total!!Tagalog!!Speak English less than "very well"","Margin of Error!!Total!!Tagalog!!Speak English less than "very well"","Estimate!!Total!!Other Pacific Island languages","Margin of Error!!Total!!Other Pacific Island languages","Estimate!!Total!!Other Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!Other Pacific Island languages!!Speak English "very well"","Estimate!!Total!!Other Pacific Island languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Pacific Island languages!!Speak English less than "very well"","Estimate!!Total!!Navajo","Margin of Error!!Total!!Navajo","Estimate!!Total!!Navajo!!Speak English "very well"","Margin of Error!!Total!!Navajo!!Speak English "very well"","Estimate!!Total!!Navajo!!Speak English less than "very well"","Margin of Error!!Total!!Navajo!!Speak English less than "very well"","Estimate!!Total!!Other Native North American languages","Margin of Error!!Total!!Other Native North American languages","Estimate!!Total!!Other Native North American languages!!Speak English "very well"","Margin of Error!!Total!!Other Native North American languages!!Speak English "very well"","Estimate!!Total!!Other Native North American languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Native North American languages!!Speak English less than "very well"","Estimate!!Total!!Hungarian","Margin of Error!!Total!!Hungarian","Estimate!!Total!!Hungarian!!Speak English "very well"","Margin of Error!!Total!!Hungarian!!Speak English "very well"","Estimate!!Total!!Hungarian!!Speak English less than "very well"","Margin of Error!!Total!!Hungarian!!Speak English less than "very well"","Estimate!!Total!!Arabic","Margin of Error!!Total!!Arabic","Estimate!!Total!!Arabic!!Speak English "very well"","Margin of Error!!Total!!Arabic!!Speak English "very well"","Estimate!!Total!!Arabic!!Speak English less than "very well"","Margin of Error!!Total!!Arabic!!Speak English less than "very well"","Estimate!!Total!!Hebrew","Margin of Error!!Total!!Hebrew","Estimate!!Total!!Hebrew!!Speak English "very well"","Margin of Error!!Total!!Hebrew!!Speak English "very well"","Estimate!!Total!!Hebrew!!Speak English less than "very well"","Margin of Error!!Total!!Hebrew!!Speak English less than "very well"","Estimate!!Total!!African languages","Margin of Error!!Total!!African languages","Estimate!!Total!!African languages!!Speak English "very well"","Margin of Error!!Total!!African languages!!Speak English "very well"","Estimate!!Total!!African languages!!Speak English less than "very well"","Margin of Error!!Total!!African languages!!Speak English less than "very well"","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages","Estimate!!Total!!Other and unspecified languages!!Speak English "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English "very well"","Estimate!!Total!!Other and unspecified languages!!Speak English less than "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English less than "very well"",
"0400000US01","Alabama","4472235","477","4241429","2902","149070","2092","69256","2031","79814","2171","7259","734","6094","664","1165","237","338","151","262","121","76","58","1790","354","1401","317","389","152","1326","334","916","282","410","183","10069","791","8597","747","1472","239","20","22","10","15","10","16","854","321","780","313","74","54","310","128","262","106","48","43","878","275","760","265","118","63","1268","235","772","188","496","145","292","116","240","109","52","41","349","174","233","122","116","93","519","204","420","169","99","79","24","27","24","27","0","28","1080","319","615","184","465","215","2425","527","1805","451","620","221","3238","603","2705","605","533","181","1190","366","974","343","216","92","3587","712","2419","529","1168","409","1027","304","834","250","193","120","8703","908","3770","492","4933","695","2306","441","1346","311","960","332","6660","712","2956","419","3704","564","836","348","465","218","371","196","160","154","101","96","59","61","835","360","284","165","551","258","802","335","349","206","453","253","6337","940","2926","530","3411","631","3771","767","2370","510","1401","458","3025","415","2309","354","716","173","1235","402","680","246","555","294","79","75","79","75","0","28","663","178","585","179","78","48","132","75","125","74","7","8","3807","819","2657","541","1150","458","471","246","450","243","21","30","3161","684","2575","607","586","285","910","404","379","191","531","258",
"0400000US02","Alaska","657548","189","550553","1799","22475","1143","16636","1153","5839","525","2084","379","1838","372","246","131","154","98","135","80","19","32","497","144","433","139","64","55","281","128","214","102","67","54","3790","568","3425","548","365","135","0","23","0","23","0","23","281","121","270","118","11","18","646","161","591","161","55","35","111","68","83","60","28","32","4465","640","3459","526","1006","258","447","177","281","120","166","101","29","32","23","27","6","10","1050","527","418","182","632","474","18","28","15","26","3","7","111","75","87","53","24","34","0","23","0","23","0","23","196","136","196","136","0","23","133","150","56","71","77","121","254","158","104","83","150","121","557","255","403","164","154","112","1392","384","560","204","832","313","1902","474","1168","258","734","344","4023","666","1706","374","2317","476","184","106","77","41","107","80","2693","765","1267","436","1426","472","835","289","335","176","500","192","1290","440","717","301","573","204","1303","458","553","224","750","278","928","483","628","347","300","154","14705","1138","7291","732","7414","813","6497","637","4762","528","1735","392","172","137","172","137","0","23","31207","850","22165","750","9042","444","77","51","59","45","18","19","651","301","459","225","192","107","162","104","113","59","49","61","1169","284","478","150","691","183","226","95","191","84","35","41",
"0400000US04","Arizona","5955604","283","4352680","11189","1224570","9419","746516","8311","478054","6231","16366","1150","13155","992","3211","419","635","306","426","248","209","181","8242","833","6469","777","1773","331","4191","655","3301","583","890","237","22839","1336","19906","1159","2933","462","426","166","368","162","58","38","3143","461","2870","442","273","107","2909","426","2563","393","346","132","3105","515","2624","454","481","162","6446","914","4263","736","2183","389","5789","721","4205","674","1584","292","8517","1105","5100","689","3417","542","3715","523","2796","434","919","245","1555","526","1193","424","362","180","6234","1011","3838","585","2396","611","4238","715","3017","563","1221","314","7802","963","6523","849","1279","317","2287","569","1740","507","547","230","7120","1042","4886","800","2234","493","7684","1049","4757","707","2927","580","27297","2015","13905","1362","13392","1149","5870","813","3853","587","2017","387","11182","1356","5958","914","5224","775","2024","685","1200","519","824","277","170","167","155","147","15","25","2341","359","1066","247","1275","305","1483","537","814","375","669","266","19289","1757","7677","958","11612","1130","12743","1286","8706","863","4037","852","19732","1579","14401","1242","5331","689","7288","970","5113","712","2175","526","84865","2009","62599","1809","22266","990","26284","1189","22428","1083","3856","549","1710","288","1310","253","400","129","15158","1758","8618","1199","6540","1139","2361","512","2057","471","304","131","10994","1540","6495","1098","4499","808","4320","746","2308","447","2012","563",
"0400000US05","Arkansas","2719637","485","2527232","2935","141370","2367","71591","2162","69779","2438","4175","465","3294","392","881","190","74","75","74","75","0","28","1089","255","924","247","165","81","1028","267","756","215","272","145","6042","597","5141","521","901","193","0","28","0","28","0","28","1176","406","1061","368","115","85","128","87","119","86","9","16","167","79","149","78","18","19","505","218","394","203","111","66","320","112","225","91","95","67","240","127","104","66","136","94","447","272","311","155","136","134","32","41","32","41","0","28","290","185","210","138","80","63","595","303","342","184","253","171","1417","514","960","401","457","280","605","272","473","220","132","112","2300","480","1633","420","667","231","753","240","427","145","326","152","3238","686","1528","363","1710","476","978","260","529","181","449","162","1611","478","1010","376","601","239","149","220","97","155","52","71","1854","643","1010","381","844","353","439","162","168","107","271","135","3603","725","1488","472","2115","412","4732","655","1969","421","2763","483","2026","483","1434","355","592","231","2575","440","1757","379","818","185","3958","502","1404","296","2554","421","17","25","17","25","0","28","694","246","446","141","248","154","199","146","177","143","22","26","2393","778","1635","628","758","278","34","34","23","29","11","18","678","223","600","206","78","53","474","306","425","302","49","55",
"0400000US06","California","34781291","476","19651209","33955","9961284","22283","5390730","19262","4570554","19111","127069","2832","106411","2543","20658","1273","5901","828","4791","712","1110","371","63833","1991","50042","1791","13791","821","77598","2857","53375","2336","24223","1176","114127","2925","98943","2657","15184","859","3862","551","3233","516","629","185","26027","1477","22586","1355","3441","399","23524","1283","21213","1180","2311","327","23405","1619","18767","1351","4638","524","148697","4015","74266","2643","74431","2898","20177","1451","13879","989","6298","804","23159","1671","16670","1319","6489","691","33849","2329","20006","1649","13843","1297","188449","4760","97693","3321","90756","2715","190110","5623","116323","3757","73787","2888","44019","2465","30771","1887","13248","1186","145762","4798","115899","4186","29863","1878","44016","2782","32054","2429","11962","1073","179348","5483","108121","3262","71227","3133","46139","2549","31266","1983","14873","1189","1036982","9410","457203","5617","579779","6396","141329","4018","75977","2269","65352","2546","375383","7063","152269","3936","223114","4532","78353","3489","37295","2560","41058","1896","74633","3660","39477","2571","35156","2089","45345","2336","19270","1269","26075","1559","36319","2784","17874","1624","18445","1503","512456","7538","203520","4309","308936","5688","144899","3905","101362","2933","43537","2031","765033","9453","510843","7250","254190","5156","118719","3812","75822","3018","42897","1845","1376","318","1143","279","233","104","6640","744","5717","671","923","283","13072","1094","9040","831","4032","565","144973","4989","90716","3491","54257","2378","40750","2308","33500","2028","7250","797","67439","3019","46695","2540","20744","1578","36026","2481","19550","1686","16476","1314",
"0400000US08","Colorado","4702024","419","3912773","8237","557825","6559","323003","4592","234822","4667","15774","1053","13274","976","2500","369","285","236","209","191","76","71","5409","674","4678","596","731","211","3299","417","2758","362","541","167","26689","1301","23211","1240","3478","433","120","69","112","66","8","19","3223","499","2994","501","229","97","2841","454","2561","434","280","102","2130","429","1528","342","602","213","14832","1214","8222","865","6610","751","5143","704","3888","555","1255","346","2799","591","1629","345","1170","314","4047","762","2971","736","1076","264","575","207","351","127","224","142","3725","737","2581","551","1144","324","849","291","661","247","188","116","4327","754","3730","715","597","212","1583","438","1276","397","307","160","7319","1104","4500","794","2819","705","4525","622","3206","448","1319","382","18153","1339","9227","812","8926","860","5671","649","3627","442","2044","316","15185","1356","7291","868","7894","807","2025","446","1159","308","866","269","2374","575","1609","391","765","255","2342","416","959","252","1383","320","2288","559","1205","417","1083","241","18395","1448","6661","603","11734","1293","9239","1007","5703","668","3536","672","7811","753","5662","626","2149","424","4093","581","2651","419","1442","294","2975","497","2734","490","241","85","2085","339","1708","304","377","161","1307","299","1052","230","255","129","8991","1213","5447","838","3544","633","1867","340","1670","311","197","88","16266","1800","9130","1349","7136","842","865","277","547","200","318","155",
"0400000US09","Connecticut","3372182","134","2656382","5647","360746","3281","209509","2851","151237","3224","35565","1510","27347","1308","8218","722","13811","1762","7930","1149","5881","896","37151","1827","26743","1408","10408","859","36815","2133","20202","1362","16613","1377","12066","868","10650","800","1416","265","430","169","405","167","25","25","2369","365","2131","334","238","143","2543","344","2301","333","242","101","8794","904","6498","703","2296","398","10922","926","5961","693","4961","595","37454","1892","21464","1259","15990","1225","4261","744","2463","454","1798","362","5311","660","3771","474","1540","320","634","224","494","197","140","70","1558","323","1176","261","382","138","5882","1079","3667","716","2215","466","10895","1139","8480","873","2415","687","6200","1120","4447","812","1753","463","10960","1283","6937","951","4023","691","13451","1375","8672","935","4779","677","25220","1448","13624","914","11596","998","3248","622","1722","316","1526","414","6033","756","2874","452","3159","535","2190","533","1173","362","1017","268","0","29","0","29","0","29","1776","346","787","260","989","337","3229","658","1541","361","1688","417","8193","1056","2986","503","5207","741","15301","1370","10727","1018","4574","686","8076","913","5558","672","2518","497","1120","274","680","186","440","157","26","31","26","31","0","29","247","111","186","105","61","53","3038","523","2179","395","859","239","8394","1315","4957","935","3437","721","2634","480","2409","462","225","95","8361","1104","6313","876","2048","481","896","193","690","153","206","98",
"0400000US10","Delaware","844069","111","739923","2060","56025","1488","30849","1334","25176","1118","3422","488","2717","366","705","249","1985","624","972","362","1013","362","2379","396","1808","340","571","148","697","276","485","199","212","128","3361","391","2654","341","707","190","70","58","70","58","0","27","1315","386","889","308","426","217","99","60","99","60","0","27","1244","341","1100","323","144","73","949","360","637","199","312","246","964","254","770","217","194","88","227","145","192","131","35","36","740","228","421","157","319","114","69","102","24","36","45","67","287","157","158","83","129","90","2020","526","1140","336","880","253","1946","460","1570","331","376","211","1654","486","1274","402","380","172","1859","427","1469","390","390","126","925","380","549","213","376","305","5754","640","2917","433","2837","478","650","175","480","161","170","95","1515","349","888","267","627","228","43","41","31","37","12","19","0","27","0","27","0","27","247","133","113","86","134","76","82","84","48","49","34","41","1207","464","527","278","680","294","3939","533","3265","458","674","211","2474","587","1953","440","521","280","159","91","130","84","29","28","2","4","0","27","2","4","315","174","243","133","72","80","154","109","70","48","84","97","1254","470","921","371","333","168","174","83","166","80","8","13","3731","690","3305","655","426","172","209","97","203","94","6","11",
"0400000US11","District of Columbia","571041","78","486147","2067","40664","1484","25336","1215","15328","1099","7965","780","6656","742","1309","285","613","264","451","238","162","115","1457","289","1160","234","297","148","1205","241","897","215","308","126","2933","465","2522","430","411","152","74","49","62","46","12","19","218","109","218","109","0","30","874","339","726","248","148","158","544","154","481","143","63","51","1717","375","1412","316","305","139","481","158","404","144","77","44","485","182","401","163","84","66","830","295","742","274","88","57","53","46","53","46","0","30","564","175","450","148","114","72","273","102","251","95","22","27","1171","350","1075","334","96","70","304","154","285","151","19","24","961","288","762","226","199","129","896","274","764","267","132","80","3697","512","2166","374","1531","310","650","179","451","134","199","114","1202","283","861","219","341","130","32","44","32","44","0","30","53","74","7","12","46","74","361","174","167","112","194","140","47","52","39","47","8","13","1095","334","610","227","485","219","855","267","747","249","108","70","1496","401","1092","316","404","155","507","210","271","129","236","162","0","30","0","30","0","30","128","94","128","94","0","30","178","82","147","75","31","34","1451","280","1243","251","208","107","559","230","534","227","25","26","7939","985","5027","762","2912","588","362","122","283","108","79","67",
