Geographic Area Name,year,Estimate!!Total,Spanish,French (incl. Cajun),Haitian,Italian,Portuguese,German,"Yiddish, Pennsylvania Dutch or other West Germanic languages",Greek,Russian,Polish,Serbo-Croatian,Ukrainian or other Slavic languages,Armenian,"Persian (incl. Farsi, Dari)",Gujarati,Hindi,Urdu,Punjabi,Bengali,"Nepali, Marathi, or other Indic languages",Other Indo-European languages,Telugu,Tamil,"Malayalam, Kannada, or other Dravidian languages","Chinese (incl. Mandarin, Cantonese)",Japanese,Korean,Hmong,Vietnamese,Khmer,"Thai, Lao, or other Tai-Kadai languages",Other languages of Asia,Tagalog (incl. Filipino),"Ilocano, Samoan, Hawaiian, or other Austronesian languages",Arabic,Hebrew,"Amharic, Somali, or other Afro-Asiatic languages","Yoruba, Twi, Igbo, or other languages of Western Africa","Swahili or other languages of Central, Eastern, and Southern Africa",Navajo,Other Native languages of North America,Other and unspecified languages,Estimate!!Total:
Alabama,2016,4548393.0,147816,6848,928,1149,1055,8205,878,794,1950,520,330,692,164,920,2594,2604,1463,136,1127,1823,1213,1666,606,334,9554,1707,8124,202,6946,649,2456,522,3702,1095,6049,382,474,1792,1463,143,835,1350,
Alaska,2016,682423.0,24078,2365,150,272,204,3137,249,269,5037,546,168,861,14,59,159,223,25,71,423,403,1026,41,45,49,1422,1421,3747,3431,1139,166,2716,630,16460,6283,516,259,489,532,373,151,30242,461,
Arizona,2016,6293638.0,1285656,16800,844,6676,3941,21506,2949,2545,7786,5815,7590,4297,1000,6624,3926,10526,2227,2213,2669,4743,10262,6149,4189,2983,30222,6737,9942,147,23300,2034,4568,4109,23815,7413,23052,2401,8797,3650,4442,82668,26480,3963,
Arkansas,2016,2777588.0,142819,3182,161,746,736,5020,1069,127,790,481,258,402,69,483,1201,1725,1171,314,560,1171,907,1448,832,474,5024,867,1453,1523,4484,441,3609,560,2725,5745,2670,31,374,472,435,4,638,464,
California,2016,36154645.0,10407915,127595,7495,59023,79593,105818,28250,24169,158027,19749,19917,34014,192374,196561,45654,172352,51265,134758,25430,48993,69800,53600,49906,29976,1144815,140697,370062,76036,542298,74422,84791,59055,792790,122819,173504,42121,66941,25761,14061,1434,6211,30628,
Colorado,2016,5023803.0,597078,16434,737,5290,3796,23894,3252,2147,16000,4287,2472,4804,558,4845,1278,6446,1438,1293,887,6002,7637,3670,2540,1552,23904,6672,15095,3131,19074,1708,4645,5232,7577,4574,9990,1874,13264,5683,3011,2305,2154,3570,
Connecticut,2016,3399758.0,391576,25828,17378,31617,36058,10330,2240,8803,10260,34092,5226,5794,621,1816,7684,13057,6536,1597,4708,5495,15872,6007,5498,2996,28159,3545,6608,66,7001,2258,3762,4045,8660,882,11704,2799,1849,6818,1823,0,309,8911,
Delaware,2016,879084.0,60311,3189,2376,1831,649,2267,1435,1012,917,832,298,513,76,516,2296,2141,1337,215,496,1250,838,2235,1479,814,7470,440,1683,26,1276,271,302,744,2298,336,1521,90,220,2718,2183,31,35,739,
District of Columbia,2016,617054.0,54247,8985,728,2058,1674,2543,507,599,2013,501,554,563,163,1131,379,1403,460,73,426,721,1851,124,112,203,5147,849,1359,0,774,91,218,846,2067,427,2127,610,6697,2603,807,26,97,817,
Florida,2016,18840238.0,3936129,104473,393505,48499,91460,63476,17810,20308,39954,23269,15421,17246,2183,10999,20349,23194,17141,2643,9818,10110,33491,9996,6348,11217,69191,11880,20936,1177,59034,5435,15866,14269,64670,7931,56143,21528,3620,8891,4211,67,2136,31727,
