Language, content-languages-percent,internet-user,user-population-percentage,wiki-views
English,0.55,1186451052,0.259,257705129
Spanish,0.05,363684593,0.079,37018505
Russian,0.049,116353942,0.025,26358126
German,0.043,92525427,0.02,30844175
French,0.044,151733611,0.033,24392611
Japanese,0.037,118626672,0.026,37286466
Portuguese,0.024,171750818,0.037,11506680
Turkish,0.023,70000000,0.015280866,3382454
Italian,0.019,50780000,0.011085177,18622198
Persian,0.018,68830000,0.015025458,5672829
Dutch,0.015,16500000,0.003601919,4935611
Polish,0.014,30000000,0.006548943,8810420
Chinese,0.014,888453068,0.193947609,13371571
Vietnamese,0.013,69000000,0.015062568,2223057
Indonesian,0.007,198029815,0.043229531,5385401
Czech,0.007,9610000,0.002097845,3357910
Korean,0.007,47250000,0.010314585,2200380
Arabic,0.007,237418349,0.051827972,7333102
