language,Country_Name,Num_Speakers,Latitude,Longitude,EGIDS,Is_Written,Institutional,Developing,In_Trouble,Dying,Extinct,Language_Status
Eastern Abenaki,United States,,44.9423,-68.7328,9,F,0,0,0,1,0,Dying
Achumawi,United States,10.0,41.105,-121.1838,8b,F,0,0,0,1,0,Dying
Ahtena,United States,80.0,61.2589,-144.4034,8a,F,0,0,0,1,0,Dying
Alabama,United States,250.0,30.7687,-94.6379,7,F,0,0,1,0,0,In_Trouble
Aleut,United States,155.0,55.069,166.2263,7,T,0,0,1,0,0,In_Trouble
Jicarilla Apache,United States,300.0,36.7879,-107.0304,7,T,0,0,1,0,0,In_Trouble
Kiowa Apache,United States,3.0,34.907,-98.249,8b,F,0,0,0,1,0,Dying
Lipan Apache,United States,,33.1513,-105.799,9,F,0,0,0,1,0,Dying
Mescalero-Chiricahua Apache,United States,1500.0,33.1227,-105.5561,6b,T,0,0,1,0,0,In_Trouble
Western Apache,United States,14000.0,33.8739,-110.1556,6b,T,0,0,1,0,0,In_Trouble
Arikara,United States,10.0,47.5196,-102.2828,8b,F,0,0,0,1,0,Dying
Arapaho,United States,1000.0,43.4352,-108.8162,6b,T,0,0,1,0,0,In_Trouble
American Sign Language,United States,271550.0,38.9087,-76.9926,5,T,0,1,0,0,0,Developing
Gros Ventre,United States,10.0,48.4857,-108.7522,8b,F,0,0,0,1,0,Dying
Atsugewi,United States,,40.8824,-122.6661,9,F,0,0,0,1,0,Dying
Barbareño,United States,,34.4227,-119.7039,9,F,0,0,0,1,0,Dying
Caddo,United States,25.0,35.1825,-98.2633,8a,F,0,0,0,1,0,Dying
Lower Chehalis,United States,,46.3227,-123.9724,9,F,0,0,0,1,0,Dying
Catawba,United States,,34.9361,-81.0272,9,F,0,0,0,1,0,Dying
Chinook,United States,7.0,45.1729,-119.1656,8b,F,0,0,0,1,0,Dying
Cahuilla,United States,35.0,33.533,-116.6905,8a,F,0,0,0,1,0,Dying
Chinook Wawa,United States,1.0,44.98,-123.8928,8b,T,0,0,0,1,0,Dying
Choctaw,United States,10400.0,33.905,-94.8092,6b,T,0,0,1,0,0,In_Trouble
Cherokee,United States,10400.0,35.4697,-83.1326,6b,T,0,0,1,0,0,In_Trouble
Cheyenne,United States,2100.0,45.5259,-106.6982,6b,T,0,0,1,0,0,In_Trouble
Chickasaw,United States,600.0,33.9442,-97.1216,8a,F,0,0,0,1,0,Dying
Chimariko,United States,0.0,41.2215,-123.7603,x10,F,0,0,0,0,1,Extinct
Chippewa,United States,5000.0,47.3527,-94.3011,7,T,0,0,1,0,0,In_Trouble
Upper Chehalis,United States,,46.4111,-122.9949,9,F,0,0,0,1,0,Dying
Koasati,United States,200.0,30.4072,-92.7022,7,T,0,0,1,0,0,In_Trouble
Clallam,United States,6.0,48.0683,-123.5152,9,F,0,0,0,1,0,Dying
Columbia-Wenatchi,United States,40.0,48.242,-118.4614,8a,F,0,0,0,1,0,Dying
Comanche,United States,100.0,34.5599,-98.427,8a,T,0,0,0,1,0,Dying
Coquille,United States,0.0,43.0734,-124.1517,x10,F,0,0,0,0,1,Extinct
Cowlitz,United States,110.0,46.132,-122.8642,8b,F,0,0,0,1,0,Dying
Coeur d’Alene,United States,2.0,47.2958,-116.7151,8b,F,0,0,0,1,0,Dying
Michif,United States,725.0,48.833,-99.8,7,F,0,0,1,0,0,In_Trouble
Crow,United States,3000.0,45.3997,-107.757,6b,T,0,0,1,0,0,In_Trouble
Cruzeño,United States,,34.3821,-119.4574,9,F,0,0,0,1,0,Dying
Coast Miwok,United States,,38.0005,-122.7255,9,F,0,0,0,1,0,Dying
Central Sierra Miwok,United States,12.0,38.0914,-120.2473,8b,F,0,0,0,1,0,Dying
Southern Ohlone,United States,1.0,36.5935,-121.4813,8b,F,0,0,0,1,0,Dying
Northern Ohlone,United States,,36.5935,-121.4813,9,F,0,0,0,1,0,Dying
Coos,United States,,43.406,-124.2402,9,F,0,0,0,1,0,Dying
Chetco,United States,5.0,42.687,-124.367,8b,F,0,0,0,1,0,Dying
Chitimacha,United States,,30.3386,-90.9123,9,F,0,0,0,1,0,Dying
Cupeño,United States,,33.364,-117.0756,9,F,0,0,0,1,0,Dying
Dakota,United States,290.0,45.1012,-100.7049,8a,T,0,0,0,1,0,Dying
Pidgin Delaware,United States,0.0,39.5866,-75.3909,x10,F,0,0,0,0,1,Extinct
Pacific Gulf Yupik,United States,200.0,60.3695,-148.9529,7,T,0,0,1,0,0,In_Trouble
North Alaskan Inupiatun,United States,,70.0063,-147.4538,6b,T,0,0,1,0,0,In_Trouble
Northwest Alaska Inupiatun,United States,5580.0,65.4684,-164.9635,6b,T,0,0,1,0,0,In_Trouble
Esselen,United States,,36.2221,-121.5555,9,F,0,0,0,1,0,Dying
Central Siberian Yupik,United States,1200.0,63.4308,-170.2717,5,T,0,1,0,0,0,Developing
Central Yupik,United States,10000.0,60.8953,-161.8849,6b,T,0,0,1,0,0,In_Trouble
Eyak,United States,,60.2165,-143.3935,9,F,0,0,0,1,0,Dying
Kalispel-Pend d’Oreille,United States,64.0,47.5972,-114.1857,8b,F,0,0,0,1,0,Dying
Cajun French,United States,25600.0,29.9914,-92.7588,7,F,0,0,1,0,0,In_Trouble
Galice,United States,0.0,42.5733,-123.6017,x10,F,0,0,0,0,1,Extinct
Sea Island Creole English,United States,350.0,33.0618,-80.412,5,T,0,1,0,0,0,Developing
Han,United States,19.0,64.8652,-141.2872,8b,T,0,0,0,1,0,Dying
Hawaiian,United States,2000.0,19.6002,-155.5197,2,T,1,0,0,0,0,Institutional
Hidatsa,United States,200.0,47.7921,-102.6555,7,F,0,0,1,0,0,In_Trouble
Holikachuk,United States,6.0,62.7242,-159.8654,8b,F,0,0,0,1,0,Dying
Hopi,United States,6780.0,35.7819,-110.545,6b,T,0,0,1,0,0,In_Trouble
Hawaii Sign Language,United States,,21.6311,-158.0018,8b,F,0,0,0,1,0,Dying
Hupa,United States,38.0,41.0999,-123.6857,8b,F,0,0,0,1,0,Dying
Hawai’i Pidgin,United States,1000000.0,19.6002,-155.5197,5,T,0,1,0,0,0,Developing
Degexit’an,United States,40.0,62.1057,-159.9371,8a,T,0,0,0,1,0,Dying
Ineseño,United States,,34.5942,-120.1371,9,F,0,0,0,1,0,Dying
Iowa-Oto,United States,,35.9761,-97.3336,9,F,0,0,0,1,0,Dying
Eastern Keres,United States,6680.0,35.5216,-106.4528,6b,T,0,0,1,0,0,In_Trouble
Kickapoo,United States,510.0,28.5298,-100.6666,6b,T,0,0,1,0,0,In_Trouble
Kitsai,United States,,35.2669,-98.2741,9,F,0,0,0,1,0,Dying
Kiowa,United States,400.0,34.9415,-98.9066,8a,F,0,0,0,1,0,Dying
Western Keres,United States,3990.0,34.9505,-107.4994,6b,T,0,0,1,0,0,In_Trouble
Kashaya,United States,45.0,40.7417,-74.1006,8a,F,0,0,0,1,0,Dying
Klamath-Modoc,United States,6.0,42.5767,-121.8637,9,F,0,0,0,1,0,Dying
Koyukon,United States,300.0,65.6093,-154.2285,8a,T,0,0,0,1,0,Dying
Kansa,United States,,36.7657,-96.8652,9,F,0,0,0,1,0,Dying
Kato,United States,,39.677,-123.4944,9,F,0,0,0,1,0,Dying
Upper Kuskokwim,United States,40.0,62.2083,-156.0824,8a,T,0,0,0,1,0,Dying
Karok,United States,12.0,41.8219,-123.3141,8a,F,0,0,0,1,0,Dying
Kalapuya,United States,0.0,43.8,-123.06,x10,F,0,0,0,0,1,Extinct
Lakota,United States,2200.0,43.3701,-101.2839,6b,T,0,0,1,0,0,In_Trouble
Lake Miwok,United States,1.0,38.9908,-122.6075,8b,F,0,0,0,1,0,Dying
Lumbee,United States,,34.679,-79.1984,9,F,0,0,0,1,0,Dying
Louisiana Creole,United States,10000.0,30.0408,-90.5953,7,F,0,0,1,0,0,In_Trouble
Luiseño,United States,5.0,33.3178,-116.9372,8b,T,0,0,0,1,0,Dying
Lushootseed,United States,10.0,48.4243,-122.5281,8b,T,0,0,0,1,0,Dying
Molale,United States,0.0,44.8636,-122.4645,x10,F,0,0,0,0,1,Extinct
Menominee,United States,60.0,44.972,-88.6225,8a,T,0,0,0,1,0,Dying
Mandan,United States,10.0,47.6633,-102.375,8b,F,0,0,0,1,0,Dying
Miami,United States,,36.8866,-94.8775,9,F,0,0,0,1,0,Dying
Mikasuki,United States,190.0,26.0907,-80.931,6b,T,0,0,1,0,0,In_Trouble
Northwest Maidu,United States,3.0,39.6759,-121.3668,8b,F,0,0,0,1,0,Dying
Mono,United States,37.0,37.1591,-119.5115,8a,F,0,0,0,1,0,Dying
Mohave,United States,100.0,34.9017,-114.6166,8a,T,0,0,0,1,0,Dying
Maricopa,United States,100.0,33.5123,-111.7486,7,F,0,0,1,0,0,In_Trouble
Muskogee,United States,4000.0,27.0663,-81.0781,6b,T,0,0,1,0,0,In_Trouble
Mattole,United States,,39.1375,-123.6931,9,F,0,0,0,1,0,Dying
Makah,United States,,48.3258,-124.6164,9,F,0,0,0,1,0,Dying
Navajo,United States,169000.0,36.2607,-109.1823,6b,T,0,0,1,0,0,In_Trouble
Natchez,United States,6.0,34.6414,-96.9264,8b,F,0,0,0,1,0,Dying
Nez Perce,United States,100.0,46.2842,-116.4146,8a,T,0,0,0,1,0,Dying
Northeast Maidu,United States,1.0,40.4101,-120.6429,8b,F,0,0,0,1,0,Dying
