state,year,total_pop,languageRank1,numSpeakers1,languageRank2,numSpeakers2,languageRank3,numSpeakers3,languageRank4,numSpeakers4,languageRank5,numSpeakers5
Alabama,2016,4548393,Spanish,147816,"Chinese (incl. Mandarin, Cantonese)",9554,German,8205,Korean,8124,Vietnamese,6946
Alaska,2016,682423,Other Native languages of North America,30242,Spanish,24078,Tagalog (incl. Filipino),16460,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",6283,Russian,5037
Arizona,2016,6293638,Spanish,1285656,Navajo,82668,"Chinese (incl. Mandarin, Cantonese)",30222,Other Native languages of North America,26480,Tagalog (incl. Filipino),23815
Arkansas,2016,2777588,Spanish,142819,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",5745,"Chinese (incl. Mandarin, Cantonese)",5024,German,5020,Vietnamese,4484
California,2016,36154645,Spanish,10407915,"Chinese (incl. Mandarin, Cantonese)",1144815,Tagalog (incl. Filipino),792790,Vietnamese,542298,Korean,370062
Colorado,2016,5023803,Spanish,597078,"Chinese (incl. Mandarin, Cantonese)",23904,German,23894,Vietnamese,19074,French (incl. Cajun),16434
Connecticut,2016,3399758,Spanish,391576,Portuguese,36058,Polish,34092,Italian,31617,"Chinese (incl. Mandarin, Cantonese)",28159
Delaware,2016,879084,Spanish,60311,"Chinese (incl. Mandarin, Cantonese)",7470,French (incl. Cajun),3189,"Yoruba, Twi, Igbo, or other languages of Western Africa",2718,Haitian,2376
District of Columbia,2016,617054,Spanish,54247,French (incl. Cajun),8985,"Amharic, Somali, or other Afro-Asiatic languages",6697,"Chinese (incl. Mandarin, Cantonese)",5147,"Yoruba, Twi, Igbo, or other languages of Western Africa",2603
Florida,2016,18840238,Spanish,3936129,Haitian,393505,French (incl. Cajun),104473,Portuguese,91460,"Chinese (incl. Mandarin, Cantonese)",69191
Georgia,2016,9438379,Spanish,748955,"Chinese (incl. Mandarin, Cantonese)",45705,Korean,45221,Vietnamese,44745,French (incl. Cajun),39558
Hawaii,2016,1322028,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",121924,Tagalog (incl. Filipino),60202,Japanese,45204,"Chinese (incl. Mandarin, Cantonese)",31901,Spanish,25854
Idaho,2016,1521420,Spanish,120847,German,4509,"Chinese (incl. Mandarin, Cantonese)",3445,French (incl. Cajun),3111,Arabic,2569
Illinois,2016,12061479,Spanish,1596091,Polish,179651,"Chinese (incl. Mandarin, Cantonese)",102065,Tagalog (incl. Filipino),81878,Arabic,61598
Indiana,2016,6169554,Spanish,285410,German,32069,"Chinese (incl. Mandarin, Cantonese)",26846,"Yiddish, Pennsylvania Dutch or other West Germanic languages",25945,Other languages of Asia,12416
Iowa,2016,2909721,Spanish,113633,German,12159,"Chinese (incl. Mandarin, Cantonese)",11583,Serbo-Croatian,8957,Vietnamese,7751
Kansas,2016,2699377,Spanish,203505,Vietnamese,12659,German,10934,"Chinese (incl. Mandarin, Cantonese)",10714,"Thai, Lao, or other Tai-Kadai languages",4844
Kentucky,2016,4137464,Spanish,106467,German,13606,Arabic,8399,"Chinese (incl. Mandarin, Cantonese)",7734,French (incl. Cajun),6714
Louisiana,2016,4336413,Spanish,156774,French (incl. Cajun),99790,Vietnamese,29570,"Chinese (incl. Mandarin, Cantonese)",9865,Arabic,8974
Maine,2016,1264777,French (incl. Cajun),38695,Spanish,11411,German,3321,"Chinese (incl. Mandarin, Cantonese)",3158,Arabic,2544
Maryland,2016,5592351,Spanish,416796,"Chinese (incl. Mandarin, Cantonese)",67027,French (incl. Cajun),48205,"Yoruba, Twi, Igbo, or other languages of Western Africa",45232,Korean,37819
Massachusetts,2016,6378533,Spanish,548794,Portuguese,180020,"Chinese (incl. Mandarin, Cantonese)",124592,Haitian,73777,French (incl. Cajun),54710
Michigan,2016,9335635,Spanish,273083,Arabic,128073,"Chinese (incl. Mandarin, Cantonese)",46425,Other Indo-European languages,34984,German,34579
Minnesota,2016,5102068,Spanish,194772,"Amharic, Somali, or other Afro-Asiatic languages",61821,Hmong,60402,Vietnamese,22963,"Chinese (incl. Mandarin, Cantonese)",22503
